Term,Definition
LinkedIn,LinkedIn is a social networking website designed for business professionals.  It allows you to share work-related information with other users and keep an online list of professional contacts.
LISTSERV,"LISTSERV is an application that creates, automates, and manages email mailing lists. It was first developed and released in 1986 by Eric Thomas to improve on earlier mailing list software by automating membership; previously, administrators needed to manage mailing list membership manually, which was a time-consuming process that limited the scale of a mailing list. Soon after its release, LISTSERV became the standard mailing list tool for BITNET, a network of universities."
Live Streaming,"Live streaming is a type of streaming in which audio or video is broadcast live over the Internet.  The media is transmitted while it is recorded, allowing viewers to watch or listen to it in real-time."
Mail Server,"A mail server (or email server) is a computer system that sends and receives email.  In many cases, web servers and mail servers are combined in a single machine.  However, large ISPs and public email services (such as Gmail and Hotmail) may use dedicated hardware for sending and receiving email."
Martech,"Martech combines the words ""marketing"" and ""technology.""  It covers a wide range of technologies used in online marketing.  Martech is related to adtech (advertising technology) but focuses on marketing services rather than digital ads."
Mashup,"The term ""mashup"" has several meanings.  It was originally used to describe songs that meshed two different styles of music into one song.  For example, a classic rock song put to a well-known hip-hop beat may be considered a mashup.  It is also used to describe videos that have been compiled using different clips from multiple sources.  For example, a skateboarding movie created from several different skateboard videos found would be considered a video mashup."
Media Queries,Media queries are a feature of CSS that enable webpage content to adapt to different screen sizes and resolutions.  They are a fundamental part of responsive web design and are used to customize the appearance of websites for multiple devices.
Meme,"A meme is a concept or behavior that spreads from person to person.  Examples of memes include beliefs, fashions, stories, and phrases.  In previous generations, memes typically spread within local cultures or social groups.  However, now that the Internet has created a global community, memes can span countries and cultures across the world.  Memes that are propogated online are called ""Internet memes."""
Meta Search Engine,"Meta search engines are search engines that search other search engines.  Confused?  To put it simply, a meta search engine submits your query to several other search engines and returns a summary of the results.  Therefore, the search results you receive are an aggregate result of multiple searches."
Meta Tag,"A <meta> tag is a special HTML tag that is used to store information about a web page, known as metadata, that is not displayed in the web browser. Some <meta> tags include technical instructions for the web browser about how to display the web page, while others contain information about the page and its author. The content of <meta> tags is also used when a search engine indexes a web page."
Metaverse,"The metaverse is a virtual world where people can interact, learn, work, shop, and create in a 3D environment.  It combines virtual reality with an open-world multiplayer setting, similar to those offered by Roblox and Fortnite."
Microblogging,"Microblogging is posting brief and often frequent updates online.  Unlike traditional blogs, which are often hosted on a custom website, microblogs are typically published on social media sites like Twitter or Facebook."
MIME Type,"MIME stands for ""Multipurpose Internet Mail Extensions."""
Minisite,"A minisite, sometimes called a microsite, is a small website dedicated to a specific topic.  Most minisites contain around five pages, though a minisite may be as small as a single webpage or as large as 20 pages."
Mirror,"In computing, a mirror is a server that provides an exact copy of data from another server.  This may be one or more files, a database, a website, or an entire server."
Moodle,"Moodle is an acronym for ""Modular Object-Oriented Dynamic Learning Environment.""  It is an online educational platform that provides custom learning environments for students.  Educators can use Moodle to create lessons, manage courses, and interact with teachers and students.  Students can use Moodle to review the class calendar, submit assignments, take quizzes, and interact with their classmates."
Multicast,"A multicast is a transmission of data from a single source to multiple recipients.  Multicasting is similar to broadcasting, but only transmits information to specific users.  It is used to efficiently transmit streaming media and other types of data to multiple users at one time."
MySpace,"MySpace is an online community that allows friends to keep in touch and meet new people as well.  It started out as a website that bands could use to promote their music, but has since grown into a more general community of friends.  Anyone who is at least 14 years old can sign up for a MySpace account at no cost.  Once you sign up, you can customize your profile by adding information about yourself, listing your interests, hobbies, and educational background, and uploading photos of yourself and your friends.  You can also create your own blog for others to read."
Name Server,A name server is a computer that translates domain names into IP addresses. Name servers serve a fundamental role in the Domain Name System (DNS). They allow a user to visit a website by entering its domain name into their web browser's address field instead of manually entering the web server's IP address.
NAT,"Stands for ""Network Address Translation."""
Navigation Bar,"A navigation bar is a user interface element within a webpage that contains links to other sections of the website.  In most cases, the navigation bar is part of the main website template, which means it is displayed on most, if not all, pages within the website.  This means that no matter what page you are viewing, you can use the navigation bar to visit other sections of the website."
Net Neutrality,"Net Neutrality is the principle that all Internet traffic is to be treated equally by Internet Service Providers (ISPs), regardless of its origin or the protocol it uses. While Net Neutrality protections are in place, an ISP can not block, throttle, or prioritize traffic from specific websites or services (outside of performing nondiscriminatory traffic management and blocking illegal material). Abiding by these principles ensures that the Internet remains a level playing field for websites and services regardless of their relationships with individual ISPs."
Netiquette,"Netiquette is short for ""Internet etiquette.""  Just like etiquette is a code of polite behavior in society, netiquette is a code of good behavior on the Internet.  This includes several aspects of the Internet, such as email, social media, online chat, web forums, website comments, multiplayer gaming, and other types of online communication."
Netmask,"The terms netmask and subnet mask are often used interchangeably.  However, subnet masks are used primarily in network configurations, while netmasks typically refer to classes of IP addresses.  They are used to define a range of IP addresses that can be used by an ISP or other organization."
Newsgroup,"A newsgroup is an online discussion forum accessible through Usenet.  Each newsgroup contains discussions about a specific topic, indicated in the newsgroup name.  You can browse newsgroups and post or reply to topics using a newsreader program.  Access to newsgroups also requires a Usenet subscription.  Most Usenet providers offer monthly access for around $10 USD per month."
Nextdoor,Nextdoor is a social media platform that connects neighbors.  It provides a way for people who live in the same local area to interact and communicate online.
NNTP,"Stands for ""Network News Transfer Protocol.""  NNTP is the protocol used to connect to Usenet servers and transfer newsgroup articles between systems over the Internet.  It is similar to the SMTP protocol used for sending email messages, but is designed specifically for newsgroup articles."
NOC,"Stands for ""Network Operations Center."""
Node.js,"Node.js is an open-source JavaScript runtime environment. It runs JavaScript code outside of a web browser, allowing web developers to use JavaScript as the back-end of their web applications. Node.js is also cross-platform and runs on Windows, Unix, Linux, and macOS."
NoSQL,"NoSQL is a non-relational database that stores and accesses data using key-values.  Instead of storing data in rows and columns like a traditional database, a NoSQL DBMS stores each item individually with a unique key.  Additionally, a NoSQL database does not require a structured schema that defines each table and the related columns.  This provides a much more flexible approach to storing data than a relational database."
NSP,"Stands for ""Network Service Provider.""  An NSP is a business that provides access to the Internet backbone.  While some ISPs also serve as NSPs, in most cases, NSPs provide Internet connectivity to ISPs, which in turn provide Internet access to customers."
NTP,"Stands for ""Network Time Protocol.""  NTP is a protocol used to synchronize computer clocks across multiple systems.  It supports synchronization over local area networks and the Internet."
Optical Carrier,"High-speed fiber optic connections are measured in Optical Carrier or ""OC"" transmission rates.  These rates include several standardized bandwidth amounts supported by Synchronous Optical Networking (SONET) connections.  They are generically referred to as OCx, where the ""x"" represents a multiplier of the basic OC-1 transmission rate, which is 51.84 Mbps."
Origin Server,"An origin server is the original source of content distributed by a content delivery network (CDN).  Examples include webpages, images, CSS files, and streaming media.  A CDN retrieves data from the origin server and replicates it on edge servers around the world."
OSPF,"Stands for ""Open Shortest Path First.""  OSPF is a method of finding the shortest path from one router to another in a local area network (LAN).  As long as a network is IP-based, the OSPF algorithm will calculate the most efficient way for data to be transmitted."
OTT,"Stands for ""Over-the-top.""  OTT refers to data sent over the Internet that bypasses traditional mediums.  Two common examples include OTT content and OTT messaging."
Outbox,"An outbox is where outgoing e-mail messages are temporarily stored.  While you are composing a message, most mail programs automatically save a draft of your message in the outbox.  The message is then stored in the outbox until it is successfully sent to the recipient.  Once the message has been sent, most e-mail programs move the message to the ""Sent"" or ""Sent Messages"" folder.  While the terms ""Outbox"" and ""Sent Messages"" are often used synonymously, technically they have different meanings."
P2P,"Stands for ""Peer to Peer."""
Packet,"A packet is a small amount of data sent over a network, such as a LAN or the Internet.  Similar to a real-life package, each packet includes a source and destination as well as the content (or data) being transferred.  When the packets reach their destination, they are reassembled into a single file or another contiguous block of data."
Page View,"Each time a user visits a Web page, it is called a page view.  Page views, also written ""pageviews,"" are tracked by website monitoring applications to record a website's traffic.  The more page views a website has, the more traffic it is receiving.  However, since a page view is recorded each time a Web page is loaded, a single user can rack up many page views on one website.  Therefore, unique page views are commonly tracked to log the number of different visitors a website receives in a given time period."
Parked Domain,"A parked domain is a registered domain name that is active but is not associated with a specific website.  Instead, a parked domain displays a ""parked page"" to users who visit the URL.  A typical parked page has a simple layout with a list of links related to the domain name.  These links may generate advertising revenue for the parked domain's owner when users click on them."
Payload,"The term ""payload"" in computing terms can mean several different things. 1) In computer networking, a payload is the part of a data packet containing the transmitted data. 2) In computer security, a payload is the part of a computer virus or other malware containing the code that carries out the virus's harmful activity."
Permalink,"Short for ""permanent link.""  A permalink is a URL that links to a specific news story or Web posting.  Permalinks are most commonly used for blogs, which are frequently changed and updated.  They give a specific Web address to each posting, allowing blog entries to be bookmarked by visitors or linked to from other websites."
Personal URL,Many websites that host online communities allow you to create your own personal URL within the website.  This custom URL typically serves as the Web address of your profile page and can be shared and bookmarked by other users.
Pharming,"Pharming is yet another way hackers attempt to manipulate users on the Internet.  While phishing attempts to capture personal information by getting users to visit a fake website, pharming redirects users to false websites without them even knowing it."
Phishing,"Phishing is a social engineering attack that tries to trick victims into divulging personal, financial, or security information. A phishing attempt consists of an email message that looks to be from a company (like Microsoft, PayPal, or a banking institution) that asks the victim to update or verify personal information on the company's website. However, a link within the email message actually sends the victim to a fraudulent website that imitates the legitimate one. When the victim enters their username, password, credit card number, or other personal information into a form on the website, it sends that information to the scammers who run it."
PHP,"Stands for ""PHP: Hypertext Preprocessor,"" a recursive acronym.  PHP is a scripting language web developers use to create dynamic websites.  It is often installed by default on Apache web servers, alongside MySQL as part of a ""LAMP"" configuration."
PIM,"Stands for ""Personal Information Manager."""
Ping,A ping is a signal sent to a host that requests a response.  It serves two primary purposes: 1) to check if the host is available and 2) to measure how long the response takes.
Pinterest,Pinterest is a social networking website that allows you to organize and share ideas with others.  You can share your own content as well as things that other Pinterest users have posted.
PON,"Stands for ""Passive Optical Network.""  A PON is a telecommunications network that transmits data over fiber optic lines.  It is ""passive"" since it uses unpowered splitters to route data sent from a central location to multiple destinations."
POP3,Stands for Post Office Protocol version 3.
Portal,"Web portals come in two flavors — internal and external.  Internal portals are designed to provide services within an organization, while external portals serve as a starting point for browsing the web."
PPC,"Stands for ""Pay Per Click."""
PPL,"Stands for ""Pay Per Lead.""  PPL is similar to CPL, but measures the cost per lead from the advertiser's perspective.  For example, if an advertiser pays $500 for 1,000 leads, the advertiser's average PPL is $0.50 ($500 ? 1000).  Leads can be anything from basic page views to product purchases or new service signups.  Leads that generate more revenue generally have a higher PPL."
PPP,"Stands for ""Point-to-Point Protocol.""  PPP is a protocol that enables communication and data transfer between two points or ""nodes.""  For many years, PPP was the standard way to establish a dial-up connection to an ISPs.   As dial-up modems were superseded by broadband devices, PPP connections became increasing.  However, PPP lives on in ""PPP over Ethernet"" (PPPoE), which is a common way to connect to the Internet using a DSL modem."
PPPoE,"Stands for ""Point-to-Point Protocol over Ethernet.""  PPPoE is a network configuration used for establishing a PPP connection over an Ethernet protocol.  It is commonly used for creating DSL Internet connections.  Since DSL modems typically connect to computers via an Ethernet connection, a standard dial-up PPP connection cannot be used.  Therefore, PPP over Ethernet allows computers to connect to an Internet service provider (ISP) via a DSL modem."
PPS,"Stands for ""Pay Per Sale.""  PPS is a type of online advertising where a web publisher is paid a commission for each sale generated by his website.  It is a more specific version of the CPA model and is commonly used in affiliate marketing."
PPTP,"Stands for ""Point-to-Point Tunneling Protocol.""  PPTP is a networking standard for connecting to virtual private networks, or VPNs.  VPNs are secure networks that can be accessed over the Internet, allowing users to access a network from a remote location.  This is useful for people who need to connect to an office network from home or access their home computer from another location."
Primitive,"In computer science, a primitive is a fundamental data type that cannot be broken down into a more simple data type.  For example, an integer is a primitive data type, while an array, which can store multiple data types, is not."
Progressive Web App,"A progressive web app (PWA) is a web application designed to provide an experience on par with a native application. A PWA uses modern web technologies like WebAssembly and JavaScript service workers to provide fast execution of code and the ability to run offline. Unlike a traditional web app, a progressive web app can even be installed to a computer or mobile device and run like any other app in its own window."
Protocol,"A protocol is a standard set of rules that allow electronic devices to communicate with each other.  These rules include what type of data may be transmitted, what commands are used to send and receive data, and how data transfers are confirmed."
Proxy Server,"A proxy server is an intermediary server through which other computers access the Internet. It serves as a gateway that can monitor and filter all traffic that passes through it. Businesses, universities, and other large organizations often use proxy servers on their networks to improve security and make it easier to manage network traffic."
RADCAB,"RADCAB is a mnemonic acronym that helps people evaluate information found online.  It was created by Karen Christensson, a library media specialist, for helping students research topics on the Web.  However, the acronym can be used by anyone who needs to look up information online."
Ransomware,"Ransomware is a type of malware that prevents you from using your computer or accessing certain files unless you pay a ransom.  It often encrypts your files so that they cannot be opened.  Examples of ransomware include Locky, Reveton, CryptoLocker, and CryptoWall."
Reciprocal Link,"A reciprocal link is a mutual link between two websites.  For example, if website A links to website B, then website B can add a reciprocal link back to website A.  The result of a reciprocal link is two websites that link to each each other."
Responsive Web Design,"Responsive web design (or ""RWD"") is a type of web design that provides a customized viewing experience for different browser platforms.  A website created with RWD will display a different interface depending on what device is used to access the site.  For example, a responsive website may appear one way on a laptop, another way on a tablet, and still another way on smartphone."
REST,"Stands for ""Representational State Transfer."""
RPM,"Stands for ""Revenue Per Mille.""  The word ""mille"" means ""one thousand"" in Latin, so RPM is short for ""Revenue Per 1,000 Impressions"" in online advertising.  It is similar to CPM, but measures the revenue from 1,000 ad impressions instead of the cost of the ads.  Advertisers typically focus on CPM, while publishers monitor RPM."
RSS,"Stands for ""Really Simple Syndication."""
RTMP,"Stands for ""Real-Time Messaging Protocol.""  RTMP is a protocol designed for transmitting audio and video over the Internet.  It is used to stream multimedia content on demand and also supports live streaming."
Sass,"Stands for ""Syntactically Awesome Style Sheets.""  Sass is an extension of cascading style sheets (CSS), the language used to define the layout and formatting of HTML documents.  It uses fully-compatible CSS syntax, but provides additional features like CSS variables and nested rules that make CSS more efficient and easier to edit."
Scraping,"Scraping, or ""web scraping,"" is the process of extracting large amounts of information from a website.  This may involve downloading several web pages or the entire site.  The downloaded content may include just the text from the pages, the full HTML, or both the HTML and images from each page."
SDSL,"Stands for ""Symmetric Digital Subscriber Line."""
Search Engine,"A search engine is a web-based software tool that helps locate information on the Internet. A search engine first creates an index of web pages using page titles, content and other metadata. When a user enters a query into a search engine, it looks for matching pages in its index, runs an algorithm to rank what it finds, then presents a list of results. This results page is also known as a Search Engine Results Page, or SERP."
SEO,"Stands for ""Search Engine Optimization."""
SERP,"Stands for ""Search Engine Results Page.""  A SERP is the page that you see after you perform a search using a search engine.  It includes a list of search results that are relevant to the search phrase or keywords you entered.  Each search result typically includes the title of the page and a brief description of the page.  The description may either be taken from the page's description meta tag or may contain snippets of text from the page that contain keywords from the search phrase."
Servlet,"A servlet is a Java program that runs on a Web server.  It is similar to an applet, but is processed on the server rather than a client's machine.  Servlets are often run when the user clicks a link, submits a form, or performs another type of action on a website."
Session,"In the computing world, a session refers to a limited time of communication between two systems.  Some sessions involve a client and a server, while other sessions involve two personal computers."
SIP,"Stands for ""Session Initiation Protocol.""  SIP is a protocol defined by the Internet Engineering Task Force (IETF).  It is used for establishing sessions between two or more telecommunications devices over the Internet."
Sitemap,"A sitemap (sometimes spelled ""site map"") is an overview of the webpages on a website. It typically includes a link to every page on the website, or at least those pages the webmaster considers important. A sitemap can help visitors to a website find a specific page while also providing web crawlers with an outline they can use to index it efficiently."
Skyscraper,"While not as common as the banner ad, the skyscraper is another prevalent form of Web advertising.  Skyscraper ads, which are tall and narrow, get their name from the tall buildings you often see in big cities.  They are typically placed to the left or right of the main content on the page, which allows all or part of the ad to be visible even as the user scrolls down the window."
Slashdot,"When a website experiences a sudden and overwhelming surge in traffic due to a mention on a high-traffic site, the server may become completely unreachable.  This phenomenon is called being ""slashdotted."""
Smishing,"Smishing is a combination of the terms ""SMS"" and ""phishing.""  It is similar to phishing, but refers to fraudulent messages sent over SMS (text messaging) rather than email."
SMM,"Stands for ""Social Media Marketing.""  SMM refers to marketing done through social media or social networking websites.  While most companies and organizations have their own websites, it can be difficult to reach users who do not already know about the organization.  Therefore, many organizations have found it useful to also develop a presence on ""Web 2.0"" websites, such as Facebook, LinkedIn, and Twitter as well."
SMTP,"Stands for ""Simple Mail Transfer Protocol."""
SOAP,"Stands for ""Simple Object Access Protocol."""
Social Engineering,"Social engineering, in the context of computer security, refers to tricking people into divulging personal information or other confidential data.  It is an umbrella term that includes phishing, pharming, and other types of manipulation.  While ""social engineering"" may sound innocuous (since it is similar to social networking), it refers specifically to malicious acts and is a topic all Internet users should understand."
Social Media,"Social media refers to online activity where people interact with each other by sharing photos, videos, blog posts, articles, and other user-generated content (UGC). People may share social media content with their friends on a social network like Facebook or with a broader audience of subscribers on a large social media platform like Youtube, Instagram, or TikTok."
Social Networking,"Social networking is the activity of connecting with other people, often on social media sites, to create new relationships and build existing ones. Websites dedicated to social networking allow people to create profiles, connect with other users, exchange messages, and share information. Social networking activity may happen on large, general-interest social media sites (like Facebook) or on smaller social networking sites with a narrower focus that serve as the foundation for an online community. Social networking sites exist for people in a specific field, with shared interests and hobbies, or in need of support for a particular problem."
Socket,"A socket is a software component that helps computer programs communicate over a network. The term ""socket"" evokes a physical socket that you plug a networking cable into and through which all data travels. Applications establish software networking sockets for a similar purpose — all data an application sends out and receives over a network connection passes through its socket."
Spam,"Spam is a term for any unsolicited bulk message. Spam is usually junk email, but it can also take the form of text messages, phone calls, or social media messages. Many email services include an automatic spam filter that detects spam and sends it to a junk folder instead of the inbox."
SPF,"Stands for ""Sender Policy Framework.""  SPF is a email authentication system designed to prevent email spoofing.  It works by verifying that an email message is sent from an authorized IP address.  SPF is commonly used alongside DKIM, another email verification technology, though they are not dependent on each other."
Spider,"A spider is a software program that travels the Web (hence the name ""spider""), locating and indexing websites for search engines.  All the major search engines, such as Google and Yahoo!, use spiders to build and update their indexes.  These programs constantly browse the Web, traveling from one hyperlink to another."
Spoofing,"The word ""spoof"" means to hoax, trick, or deceive.  Therefore, in the IT world, spoofing refers tricking or deceiving computer systems or other computer users.  This is typically done by hiding one's identity or faking the identity of another user on the Internet."
SSH,"Stands for ""Secure Shell."""
SSL,"Stands for ""Secure Socket Layer."""
SSO,"Stands for ""Single Sign-On."""
Static Website,"A static website contains Web pages with fixed content.  Each page is coded in HTML and displays the same information to every visitor.  Static sites are the most basic type of website and are the easiest to create.  Unlike dynamic websites, they do not require any Web programming or database design.  A static site can be built by simply creating a few HTML pages and publishing them to a Web server."
Streaming,"Streaming is the playback of music, video, or other media over the Internet while it progressively downloads. Unlike downloading a file directly, a copy of the streamed file is not retained on the device once the playback stops. Media can be streamed to computers, mobile devices, and dedicated streaming devices that connect to a TV like an Apple TV or an Amazon Fire Stick."
SYN Flood,"A SYN flood is a type of denial of service (DoS) attack that sends a series of ""SYN"" messages to a computer, such as a web server.  SYN is short for ""synchronize"" and is the first step in establishing communication between two systems over the TCP/IP protocol."
T1,"Stands for ""Transmission System Level 1."""
T3,"Stands for ""Transmission System Level 3."""
Tag,"On clothes, tags usually indicate the brand, size of the garment, fabrics used, and the washing instructions.  In Web pages, tags indicate what should be displayed on the screen when the page loads.  Tags are the basic formatting tool used in HTML (hypertext markup language) and other markup languages, such as XML.  For example, the <table> tag is used to insert a table on a webpage.  The data that should be inside the table follows the <table> tag, and the table is closed with a </table> tag."
TCP,"Stands for ""Transmission Control Protocol.""  TCP is a fundamental protocol within the Internet protocol suite — a collection of standards that allow systems to communicate over the Internet.  It is categorized as a ""transport layer"" protocol since it creates and maintains connections between hosts."
TCP/IP,"Stands for ""Transmission Control Protocol over Internet Protocol."""
Telnet,Telnet is a protocol for connecting from one computer to another using a text-based command line interface. Telnet connections can be made over a local network or over the Internet.
TLS,"Stands for ""Transport Layer Security.""  TLS is a data encryption technology that provides secure data transfers.  It encrypts (or scrambles) all data sent from one system to another.  Any third party that attempts to ""eavesdrop"" on the transfer will be unable to recognize the data."
Traceroute,"Traceroute is a TCP/IP diagnostic utility that traces the route traveled by a data packet from one host to another. A traceroute report provides information about which networks a data packet traverses and how long each hop takes. If one node along a packet's journey causes a delay or other network problem, a traceroute can help identify it."
Trackback,"Trackback is a means of notifying a website that another website has linked to it.  By linking to a trackback link, a webmaster can automatically inform the other website that he has added a link to one of site's pages.  However, in order for the trackback system to work, both websites must support trackback.  This is because the linking website needs to ping the linked website to let it know a link has been added."
Troll,"Trolls are typically thought of as scary creatures that live underneath bridges.  While these mythical creatures may only exist in legend, ""Internet trolls"" are real and cause real problems.  In computing, the term ""troll"" refers to a person who posts offensive, incendiary, or off topic comments online.  These comments may appear in Web forums, on Facebook walls, after news articles or blog entries, or in online chat rooms."
TTL,"Stands for ""Time to Live."""
Tumblr,"Tumblr is a microblogging website that allows you to create and follow blogs.  Unlike traditional blogging websites, Tumblr encourages short posts, such as a single photo or a few sentences of text.  The goal is to make blogging quick and easy, enabling users to post frequent updates."
Tunneling,"Tunneling is the process of transporting network traffic that uses one protocol within data packets using another protocol. It allows two devices to hide the nature of the data within the tunnel from other devices on the network. Tunneling protocols can encrypt traffic, provide a secure connection for a VPN, or allow packets using an unsupported protocol to travel across a network."
Tweet,"For most of history, ""tweet"" has been the sound a bird makes.  However, with the advent of Twitter, the word ""tweet"" has taken on a whole new meaning."
Twitch,"Twitch is a live streaming service that enables individuals to stream video content online.  It began as a platform for gamers to stream their matches in real-time, but has expanded into other categories.  Examples include Just Chatting, Music, and Creative channels."
Twitter,"Twitter is an online service that allows you to share updates with other users by answering one simple question: ""What are you doing?"""
UDP,"Stands for ""User Datagram Protocol."""
UGC,"Stands for ""User Generated Content.""  In the early years of the Web, most websites were static, meaning each page had fixed content that did not change unless it was updated by the webmaster.  As the Web evolved, dynamic websites, which generate content from a database, became the norm.  Now, in the Web 2.0 era, many websites now include UGC, or content created by visitors."
Unfriend,"When you ""friend"" a user on a social networking website, you add that person to your list of online friends.  When you remove a person from your friend list, you ""unfriend"" that user."
Unicast,"A unicast is a real-time data transmission from a single sender to one recipient.  Examples include a video stream, audio stream, or online presentation shared with a single user over the Internet.  It is considered ""one-to-one"" communication since there are only two parties involved."
Upload,"Uploading is the sending of data from one device to another over a network or other connection. It is the opposite of downloading, which is the act of receiving data. A network connection can upload and download data at the same time. Many home Internet connections upload data at a slower speed than they download."
URI,"Stands for ""Uniform Resource Identifier."""
URL,"Stands for ""Uniform Resource Locator.""  A URL is the address of a specific webpage or file on the Internet.  For example, the URL of the TechTerms website is ""http://techterms.com.""  The address of this page is ""http://techterms.com/definition/url"" and includes the following elements:"
Usenet,"Usenet is collection of online discussions that are organized into newsgroups.  Users may create their own discussion topics or contribute to existing threads within a topic.  Some newsgroups provide forums for questions and answers, while others are designed primarily for file sharing."
VCI,"Stands for ""Virtual Channel Identifier.""  The VCI, used in conjunction with the VPI (virtual path indicator), indicates where an ATM cell is to travel over a network.  ATM, or asynchronous transfer mode, is a method that many ISPs (Internet Service Providers) use to transfer data to client computers.  Because ATM sends packets over fixed channels, the data is easier to track than information sent over the standard TCP/IP protocol."
VDSL,"Stands for ""Very high bit rate Digital Subscriber Line.""  VDSL (sometimes called ""VHDSL"") is a DSL standard that provides high speed Internet access.  It is an improved version of ADSL (asymmetric DSL) that offers download speeds of up to 52 Mbps (6.5 megabytes per second) and upload speeds up to 16 Mbps (2 megabytes per second)."
VIP,"Stands for ""Virtual IP Address.""  A VIP (or VIPA) is a public IP address that may be shared by multiple devices connected to the Internet.  Internally, each device has a unique local IP address, but externally, they all share the same one."
Vlog,"Vlog is short for ""video blog"" and is pronounced ""vlog"" (one syllable).  A vlog is a blog, or web log, that includes video clips.  It may be entirely video-based or may include both video and written commentary.  Several types of vlogs are available on the Web, including instructional videos, travel updates, and personal commentaries."
VoIP,"Stands for ""Voice over Internet Protocol."""
VPI,"Stands for ""Virtual Path Identifier."""
VPN,"Stands for ""Virtual Private Network.""  A VPN is a service that provides secure, anonymous Internet access.  It ""tunnels"" your Internet connection from your ISP through one or more VPN servers, which hides your actual IP address and location."
VPS,"Stands for ""Virtual Private Server.""  A VPS is a server created using software virtualization.  It functions like a physical server, but it is a virtualized instance created within a server.  A single physical machine can host multiple virtual private servers.  A cloud-based VPS may be hosted across multiple servers."
W3C,"Stands for ""World Wide Web Consortium.""  The W3C is an international community that includes a full-time staff, industry experts, and several member organizations.  These groups work together to develop standards for the World Wide Web."
WAIS,"Stands for ""Wide Area Information Server."""
WAN,"Stands for ""Wide Area Network."""
Web 2.0,"Web 2.0 is a term that was introduced in 2004 and refers to the second generation of the World Wide Web.  The term ""2.0"" comes from the software industry, where new versions of software programs are labeled with an incremental version number.  Like software, the new generation of the Web includes new features and functionality that was not available in the past.  However, Web 2.0 does not refer to a specific version of the Web, but rather a series of technological improvements."
Web Application,"A web application or ""web app"" is a software program that runs on a web server.  Unlike traditional desktop applications, which are launched by your operating system, web apps must be accessed through a web browser."
Web Beacon,A web beacon is a small image file — usually a transparent 1x1 pixel image — used for tracking purposes.  It may be placed in a webpage or HTML email to record when the content was loaded.
Web Design,"Web design is the process of creating websites.  It encompasses several different aspects, including webpage layout, content production, and graphic design.  While the terms web design and web development are often used interchangeably, web design is technically a subset of the broader category of web development."
Web Development,"Web development refers to building, creating, and maintaining websites.  It includes aspects such as web design, web publishing, web programming, and database management."
Web Forum,"A Web forum is a website or section of a website that allows visitors to communicate with each other by posting messages.  Most forums allow anonymous visitors to view forum postings, but require you to create an account in order to post messages in the forum.  When posting in a forum, you can create new topics (or ""threads"") or post replies within existing threads."
Web Host,"In order to publish a website online, you need a Web host.  The Web host stores all the pages of your website and makes them available to computers connected to the Internet.  The domain name, such as ""sony.com,"" is actually linked to an IP address that points to a specific computer.  When somebody enters your domain name into their browser's address field, the IP address is located and Web site is loaded from your Web host."
Web Publishing,"Web publishing, or ""online publishing,"" is the process of publishing content on the Internet.  It includes creating and uploading websites, updating webpages, and posting blogs online.  The published content may include text, images, videos, and other types of media."
Web Server,"A Web server is a computer system that hosts websites.  It runs Web server software, such as Apache or Microsoft IIS, which provides access to hosted webpages over the Internet.  Most Web servers are connected to the Internet via a high-speed connection, offering OC-3 or faster data transmission rates.  A fast Internet connection allows Web servers to support multiple connections at one time without slowing down."
Web Service,"A web service is an application or data source that is accessible via a standard web protocol (HTTP or HTTPS).  Unlike web applications, web services are designed to communicate with other programs, rather than directly with users."
Webhook,"A webhook is an event notification transmitted via HTTP, the same protocol used for transferring webpage data.  It is typically sent as a POST request, which contains data that is ""posted"" to a specific URL.  The URL defines the location of a script, which processes the data in the POST request."
Webmail,"Webmail refers to email services that provide a web-based interface instead of (or in addition to) using a local email client application. Many webmail services are free or offer a mix of free and paid service tiers. The most common webmail providers include Gmail, Outlook.com (formerly Hotmail), Yahoo! Mail, and iCloud Mail. However, if you own your own domain, many web hosts offer a webmail interface for sending and receiving email through your domain's email addresses."
Webmaster,"A webmaster is a person responsible for managing and maintaining a website. In the early days of the web, it referred to an individual who handled every aspect of running a website; in modern usage, it instead refers to a person responsible for overseeing its general operations."
Webpage,"Webpages are the files that make up the World Wide Web. An individual webpage is a text document written in HTML (hypertext markup language). When a web browser displays a webpage, it translates the markup language into readable content. Webpages are hosted on a web server, and the collection of webpages hosted on the same domain name make up a website."
Webring,"A webring (or ""web ring"") is a network of interlinked websites that share a common theme or interest.  The goal is to allow users to explore related content by following links on each participating site.  Visitors can navigate the ring by moving forward or backward between sites or selecting a specific site from a list."
Website,A website is a collection of webpages grouped together using the same domain name and operated by the same person or organization. You can access a website using a web browser by entering its URL directly or by clicking a link to it from another website.
WHOIS,"WHOIS (pronounced ""who is"") is an Internet service used to look up information about a domain name.  While the term is capitalized, ""WHOIS"" is not an acronym.  Instead, it is short for the question, ""Who is responsible for this domain name?"""
Wiki,A wiki is a type of website that allows users to collaboratively edit its content and structure from within a web browser. Most wiki sites are a collection of hyperlinked pages that serve as a knowledge base for an organization or online community.
WINS,"Stands for ""Windows Internet Name Service.""  WINS is a service that enables Windows to identify NetBIOS systems on a TCP/IP network.  It maps NetBIOS names to IP addresses, which is a more standard way to identify network devices."
WordPress,WordPress is a free content management system used to build and maintain websites.  Its ease of use and unique blogging features have helped it become the most popular blogging tool on the web.
WWW,"Stands for the ""World Wide Web."""
